time,speed, speed2, speed3,accel
171,25.5,649.0,16535.0,0.0
172,22.4,500.4,11193.4,-3.1
173,18.6,347.5,6477.6,-3.7
174,14.9,222.4,3316.6,-3.7
175,10.6,111.6,1178.7,-4.3
176,6.8,46.7,319.3,-3.7
177,5.6,31.3,174.9,-1.2
178,3.7,13.9,51.8,-1.9
179,1.2,1.5,1.9,-2.5
180,0.0,0.0,0.0,-1.2
181,0.0,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0
185,2.5,6.2,15.4,2.5
186,5.0,24.7,122.8,2.5
187,9.3,86.9,809.7,4.3
188,12.4,154.4,1919.3,3.1
189,15.5,241.3,3748.6,3.1
190,18.6,347.5,6477.6,3.1
191,21.7,473.0,10286.3,3.1
192,24.9,617.8,15354.4,3.1
193,26.7,713.9,19074.7,1.9
194,29.2,852.9,24908.5,2.5
195,30.4,927.0,28225.5,1.2
196,31.7,1004.3,31824.7,1.2
197,32.3,1044.0,33733.7,0.6
198,32.3,1044.0,33733.7,0.0
199,32.3,1044.0,33733.7,0.0
200,32.3,1044.0,33733.7,0.0
201,32.3,1044.0,33733.7,0.0
202,32.3,1044.0,33733.7,0.0
203,32.9,1084.6,35717.5,0.6
204,32.9,1084.6,35717.5,0.0
205,31.1,965.3,29989.1,-1.9
206,30.4,927.0,28225.5,-0.6
207,30.4,927.0,28225.5,0.0
208,30.4,927.0,28225.5,0.0
209,29.2,852.9,24908.5,-1.2
210,26.7,713.9,19074.7,-2.5
211,24.9,617.8,15354.4,-1.9
212,24.2,587.3,14231.4,-0.6
213,23.6,557.5,13164.5,-0.6
214,23.6,557.5,13164.5,0.0
215,23.0,528.6,12152.3,-0.6
216,23.6,557.5,13164.5,0.6
217,24.9,617.8,15354.4,1.2
218,26.1,681.1,17774.7,1.2
219,27.3,747.5,20436.7,1.2
220,29.2,852.9,24908.5,1.9
221,30.4,927.0,28225.5,1.2
222,31.7,1004.3,31824.7,1.2
223,32.3,1044.0,33733.7,0.6
224,32.3,1044.0,33733.7,0.0
225,34.2,1168.0,39915.5,1.9
226,34.2,1168.0,39915.5,0.0
227,35.4,1254.4,44430.2,1.2
228,36.0,1298.8,46809.9,0.6
229,36.7,1344.0,49273.0,0.6
230,36.7,1344.0,49273.0,0.0
231,36.7,1344.0,49273.0,0.0
232,36.0,1298.8,46809.9,-0.6
233,33.6,1125.9,37777.6,-2.5
234,32.3,1044.0,33733.7,-1.2
235,30.4,927.0,28225.5,-1.9
236,29.8,889.6,26532.4,-0.6
237,29.8,889.6,26532.4,0.0
238,29.8,889.6,26532.4,0.0
239,28.6,817.0,23352.1,-1.2
240,26.7,713.9,19074.7,-1.9
241,26.7,713.9,19074.7,0.0
242,28.0,781.9,21862.1,1.2
243,28.0,781.9,21862.1,0.0
244,29.2,852.9,24908.5,1.2
245,29.2,852.9,24908.5,0.0
246,28.6,817.0,23352.1,-0.6
247,27.3,747.5,20436.7,-1.2
248,27.3,747.5,20436.7,0.0
249,28.0,781.9,21862.1,0.6
250,28.0,781.9,21862.1,0.0
251,28.0,781.9,21862.1,0.0
252,28.0,781.9,21862.1,0.0
253,28.0,781.9,21862.1,0.0
254,28.0,781.9,21862.1,0.0
255,28.6,817.0,23352.1,0.6
256,29.2,852.9,24908.5,0.6
257,29.2,852.9,24908.5,0.0
258,29.8,889.6,26532.4,0.6
259,29.8,889.6,26532.4,0.0
260,30.4,927.0,28225.5,0.6
261,29.8,889.6,26532.4,-0.6
262,28.6,817.0,23352.1,-1.2
263,26.7,713.9,19074.7,-1.9
264,24.2,587.3,14231.4,-2.5
265,18.0,324.7,5851.2,-6.2
266,12.4,154.4,1919.3,-5.6
267,9.3,86.9,809.7,-3.1
268,9.3,86.9,809.7,0.0
269,11.8,139.4,1645.6,2.5
270,13.7,186.9,2554.6,1.9
271,15.5,241.3,3748.6,1.9
272,17.4,302.7,5266.6,1.9
273,17.4,302.7,5266.6,0.0
274,15.5,241.3,3748.6,-1.9
275,14.9,222.4,3316.6,-0.6
276,14.9,222.4,3316.6,0.0
277,12.4,154.4,1919.3,-2.5
278,9.3,86.9,809.7,-3.1
279,5.6,31.3,174.9,-3.7
280,2.5,6.2,15.4,-3.1
281,0.6,0.4,0.2,-1.9
282,0.0,0.0,0.0,-0.6
283,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0
287,0.6,0.4,0.2,0.6
288,3.1,9.7,30.0,2.5
289,8.1,65.3,527.1,5.0
290,12.4,154.4,1919.3,4.3
291,14.3,204.2,2919.0,1.9
292,16.2,261.0,4216.7,1.9
293,19.3,371.0,7147.2,3.1
294,21.7,473.0,10286.3,2.5
295,23.6,557.5,13164.5,1.9
296,25.5,649.0,16535.0,1.9
297,26.7,713.9,19074.7,1.2
298,28.0,781.9,21862.1,1.2
299,28.0,781.9,21862.1,0.0
300,28.0,781.9,21862.1,0.0
301,28.0,781.9,21862.1,0.0
302,28.0,781.9,21862.1,0.0
303,27.3,747.5,20436.7,-0.6
304,26.1,681.1,17774.7,-1.2
305,25.5,649.0,16535.0,-0.6
306,24.9,617.8,15354.4,-0.6
307,23.0,528.6,12152.3,-1.9
308,22.4,500.4,11193.4,-0.6
309,21.7,473.0,10286.3,-0.6
310,21.1,446.3,9429.5,-0.6
311,18.0,324.7,5851.2,-3.1
312,13.7,186.9,2554.6,-4.3
313,13.7,186.9,2554.6,0.0
314,13.7,186.9,2554.6,0.0
315,11.8,139.4,1645.6,-1.9
316,5.6,31.3,174.9,-6.2
317,5.0,24.7,122.8,-0.6
318,5.0,24.7,122.8,0.0
319,3.1,9.7,30.0,-1.9
320,0.0,0.0,0.0,-3.1
321,0.0,0.0,0.0,0.0
322,0.0,0.0,0.0,0.0
323,0.0,0.0,0.0,0.0
324,0.0,0.0,0.0,0.0
325,0.0,0.0,0.0,0.0
326,0.0,0.0,0.0,0.0
327,0.0,0.0,0.0,0.0
328,0.0,0.0,0.0,0.0
329,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0
332,0.0,0.0,0.0,0.0
333,0.0,0.0,0.0,0.0
334,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0
338,0.0,0.0,0.0,0.0
339,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0
341,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0
344,0.0,0.0,0.0,0.0
345,0.0,0.0,0.0,0.0
346,0.0,0.0,0.0,0.0
347,0.0,0.0,0.0,0.0
348,0.0,0.0,0.0,0.0
349,0.0,0.0,0.0,0.0
350,0.0,0.0,0.0,0.0
351,0.0,0.0,0.0,0.0
352,0.0,0.0,0.0,0.0
353,0.0,0.0,0.0,0.0
354,0.0,0.0,0.0,0.0
355,0.0,0.0,0.0,0.0
