fuelType,Motorcycle,Passenger Car,Passenger Truck,Light Commercial Truck,Transit Bus,Single Unit Short-haul Truck,Motor Home,Combination Short-haul Truck
Gasoline,335607.0,2773860.0,985750.0,232663.0,59241.0,1262.0,6889.0,149.0
Diesel Fuel,69.0,179042.0,463823.0,518122.0,34536.0,125670.0,7001.0,3254.0
Compressed Natural Gas(CNG),0.0,43.0,18.0,13.0,452.0,18.0,0.0,2.0
Ethanol(E - 85),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,330.0,1901.0,16.0,52.0,8.0,14.0,0.0,3.0
