timeEnterLink,timeOnLink,vehID,pathID,linkID,linkSequenceInPath
23400.4,2.0,1,0,9450,0
23403.2,0.8,1,0,11049,1
23404.0,0.8,1,0,11388,2
23404.8,6.400000000001455,1,0,9348,3
23412.0,0.8,1,0,11414,4
23413.6,5.600000000002183,1,0,9408,5
23420.0,0.8,1,0,11360,6
23421.6,68.0,1,0,9163,7
23490.4,2.399999999997817,1,0,11361,8
23493.6,11.200000000000728,1,0,10319,9
23505.6,0.8000000000029104,1,0,11342,10
23507.2,6.399999999997817,1,0,10699,11
23514.4,0.8,1,0,11362,12
23515.2,6.399999999997817,1,0,10374,13
23522.4,0.8,1,0,24316,14
23524.0,4.0,1,0,10372,15
23528.8,0.8,1,0,10800,16
23530.4,1.5999999999985448,1,0,8126,17
23532.8,0.8,1,0,10799,18
23534.4,4.799999999999272,1,0,8431,19
23540.0,4.799999999999272,1,0,23768,20
23541.6,0.8,1,0,19792,21
23545.6,4.80000000000291,1,0,9066,22
23551.2,0.8,1,0,10795,23
23552.8,5.0,1,0,8121,24
23400.6,25.80000000000291,2,0,10292,0
23427.2,0.8,2,0,11759,1
23428.0,0.8,2,0,10131,2
23428.8,0.8,2,0,11256,3
23429.6,4.0,2,0,8733,4
23434.4,0.8,2,0,11756,5
23435.2,0.8,2,0,10128,6
23436.8,0.8,2,0,11835,7
23437.6,0.8,2,0,10283,8
23438.4,16.799999999999272,2,0,10136,9
23456.0,4.799999999999272,2,0,10138,10
23461.6,0.8,2,0,12061,11
23462.4,6.399999999997817,2,0,10736,12
23469.6,0.8000000000029104,2,0,18184,13
23471.2,3.2000000000007276,2,0,10142,14
23475.2,0.8,2,0,11295,15
23476.0,3.2000000000007276,2,0,9132,16
23480.0,0.8,2,0,11301,17
23480.8,3.2000000000007276,2,0,9146,18
23484.8,0.8,2,0,11216,19
23485.6,9.600000000002183,2,0,8930,20
23496.0,0.8,2,0,11177,21
23496.8,9.600000000002183,2,0,9173,22
23507.2,0.8,2,0,11336,23
23508.0,6.400000000001455,2,0,9169,24
23515.2,0.8,2,0,11321,25
23516.8,4.0,2,0,8823,26
23521.6,0.8000000000029104,2,0,10917,27
23523.2,4.0,2,0,8786,28
23528.0,0.8,2,0,11239,29
23528.8,1.6000000000021828,2,0,9004,30
23531.2,0.8,2,0,10759,31
23532.0,0.8,2,0,8058,32
23533.6,0.8,2,0,10761,33
23534.4,29.599999999998545,2,0,8065,34
23564.8,3.2000000000007276,2,0,11347,35
23568.8,11.200000000000728,2,0,8784,36
23580.8,0.8,2,0,11246,37
23582.4,1.5999999999985448,2,0,9021,38
23584.8,0.8,2,0,11454,39
23585.6,5.600000000002183,2,0,9485,40
23592.0,0.8,2,0,10782,41
23593.6,11.200000000000728,2,0,8108,42
23605.6,0.8000000000029104,2,0,11355,43
23607.2,0.8,2,0,9267,44
23608.8,0.8,2,0,11356,45
23610.4,0.8,2,0,9270,46
23611.2,0.8,2,0,11886,47
23612.8,89.60000000000218,2,0,10386,48
23703.2,2.399999999997817,2,0,11357,49
23706.4,1.5999999999985448,2,0,9271,50
23708.8,0.8,2,0,11346,51
23710.4,0.8,2,0,11345,52
23712.0,2.400000000001455,2,0,9237,53
23715.2,0.8,2,0,19856,54
23716.8,3.2000000000007276,2,0,9219,55
23720.8,0.8,2,0,19845,56
23722.4,7.19999999999709,2,0,9225,57
23730.4,0.8,2,0,11907,58
23731.2,2.399999999997817,2,0,10426,59
23734.4,0.8,2,0,11394,60
23735.2,1.0999999999985448,2,0,9361,61
23401.1,5.30000000000291,3,0,10052,0
23407.2,0.8,3,0,11916,1
23408.8,7.200000000000728,3,0,10449,2
23416.8,0.8,3,0,12060,3
23417.6,38.400000000001455,3,0,10730,4
23456.8,2.400000000001455,3,0,10957,5
23460.0,8.0,3,0,10054,6
23468.8,0.8,3,0,12045,7
23470.4,0.8,3,0,11370,8
23472.0,2.400000000001455,3,0,10705,9
23475.2,0.8,3,0,10866,10
23476.8,3.2000000000007276,3,0,10056,11
23480.8,0.8,3,0,11723,12
23481.6,6.400000000001455,3,0,10059,13
23488.8,0.8,3,0,11725,14
23489.6,12.0,3,0,10063,15
23502.4,0.8,3,0,11149,16
23503.2,1.5999999999985448,3,0,8793,17
23505.6,0.8,3,0,18723,18
23506.4,0.8,3,0,18720,19
23507.2,1.5999999999985448,3,0,10181,20
23509.6,0.8000000000029104,3,0,11147,21
23511.2,0.8,3,0,8788,22
23512.8,0.8,3,0,11787,23
23514.4,5.599999999998545,3,0,10180,24
23520.8,0.8,3,0,11784,25
23522.4,7.19999999999709,3,0,10172,26
23530.4,0.8,3,0,11827,27
23532.0,8.799999999999272,3,0,10261,28
23541.6,0.8,3,0,11223,29
23542.4,0.8,3,0,8972,30
23544.0,0.8,3,0,10893,31
23544.8,4.400000000001455,3,0,8292,32
23401.5,1.7000000000007276,4,0,9002,0
23404.0,0.8,4,0,11236,1
23404.8,0.8,4,0,9001,2
23406.4,0.8,4,0,11976,3
23408.0,2.400000000001455,4,0,10568,4
23411.2,0.8,4,0,11225,5
23412.0,2.400000000001455,4,0,8990,6
23415.2,0.8,4,0,11217,7
23416.8,3.2000000000007276,4,0,8975,8
23420.8,0.8,4,0,11798,9
23422.4,0.8,4,0,10201,10
23423.2,1.5999999999985448,4,0,10200,11
23425.6,0.8,4,0,11978,12
23426.4,0.8,4,0,10574,13
23427.2,1.5999999999985448,4,0,11194,14
23429.6,0.8000000000029104,4,0,8922,15
23431.2,74.39999999999782,4,0,10217,16
23506.4,3.1999999999970896,4,0,11444,17
23510.4,32.0,4,0,8560,18
23543.2,4.0,4,0,11196,19
23548.0,46.400000000001455,4,0,10434,20
23595.2,6.399999999997817,4,0,11408,21
23602.4,47.19999999999709,4,0,9394,22
23650.4,6.399999999997817,4,0,11419,23
23657.6,7.200000000000728,4,0,10168,24
23665.6,0.8000000000029104,4,0,11409,25
23667.2,7.200000000000728,4,0,10480,26
23675.2,1.5999999999985448,4,0,11410,27
23677.6,16.0,4,0,9940,28
23694.4,2.399999999997817,4,0,11292,29
23697.6,4.80000000000291,4,0,9876,30
23703.2,1.5999999999985448,4,0,11649,31
23705.6,8.80000000000291,4,0,10024,32
23715.2,0.8,4,0,11248,33
23716.8,44.79999999999927,4,0,9885,34
23762.4,6.399999999997817,4,0,11642,35
23769.6,16.80000000000291,4,0,9886,36
23787.2,0.8,4,0,11183,37
23788.8,26.100000000002183,4,0,9806,38
23402.6,26.200000000000728,5,0,10292,0
23429.6,0.8,5,0,11759,1
23430.4,0.8,5,0,10131,2
23431.2,0.8,5,0,11256,3
23432.0,4.799999999999272,5,0,8733,4
23437.6,1.6000000000021828,5,0,10128,5
23440.0,0.8,5,0,10283,6
