fuelType,Motorcycle,Passenger Car,Passenger Truck,Light Commercial Truck,Transit Bus,Single Unit Short-haul Truck,Motor Home,Combination Short-haul Truck
Gasoline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diesel Fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Compressed Natural Gas(CNG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethanol(E - 85),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
