did,oid,sid,origin,destination,entranceSection,generationTime,entranceTime,exitTime,expectedTravelTime,delayTime,travelledDistance,pathType
24296,1394,53,7862,7890,0,727.794,24127.8,-1.0,0.0,44.1352,2709.98,
24296,1395,53,7955,7867,0,727.829,24127.8,24277.8,0.0,81.734,1238.17,
24296,1396,53,8008,7946,0,728.17,24128.2,24189.1,0.0,21.7324,709.133,
24296,1397,53,7862,8021,0,728.344,24128.3,24171.6,0.0,1.90566,953.679,
24296,1398,53,7937,7862,0,729.6,24128.8,-1.0,0.0,112.481,979.635,
24296,1399,53,7956,7859,0,729.599,24129.6,-1.0,0.0,23.0355,2347.43,
24296,1400,53,7863,8002,0,731.005,24131.0,24267.4,0.0,22.3686,1694.26,
24296,1401,53,7996,7891,0,732.056,24132.1,-1.0,0.0,102.182,947.082,
24296,1402,53,7860,7899,0,733.214,24133.2,-1.0,0.0,11.3074,2084.75,
24296,1403,53,7867,7910,0,733.617,24133.6,-1.0,0.0,25.4492,1923.13,
24296,1404,56,7862,8014,0,733.774,24133.8,24240.0,0.0,1.78262,2043.49,
24296,1405,53,7868,7950,0,733.942,24133.9,24223.7,0.0,16.0773,1093.97,
24296,1406,53,7867,7955,0,734.091,24134.1,24193.6,0.0,4.67548,1105.97,
24296,1407,53,7964,7869,0,735.097,24135.1,24278.8,0.0,36.4054,1849.15,
24296,1408,53,7859,7871,0,735.543,24135.5,24180.0,0.0,3.3791,690.13,
24296,1409,53,7937,7907,0,735.956,24136.0,-1.0,0.0,105.592,876.559,
24296,1410,53,7859,7888,0,736.544,24136.5,24204.5,0.0,2.71007,1300.67,
24296,1411,53,7863,8001,0,737.135,24137.1,24263.3,0.0,16.1188,1556.76,
24296,1412,53,7963,7862,0,737.89,24137.9,-1.0,0.0,48.0539,1450.84,
24296,1413,53,7862,7956,0,738.47,24138.5,-1.0,0.0,3.80555,2530.25,
24296,1414,53,7911,7933,0,739.74,24139.7,-1.0,0.0,111.171,792.464,
24296,1415,53,7983,7920,0,739.775,24139.8,-1.0,0.0,82.7128,965.876,
24296,1416,53,7862,7984,0,740.164,24140.2,-1.0,0.0,40.9318,2224.27,
24296,1417,53,7860,7873,0,740.437,24140.4,24173.6,0.0,4.03209,546.035,
24296,1418,53,7862,7993,0,740.484,24140.5,-1.0,0.0,42.565,2101.68,
24296,1419,53,7867,7959,0,740.507,24140.5,24210.5,0.0,1.64215,1253.45,
24296,1420,53,8025,7864,0,740.675,24140.7,24296.1,0.0,76.1251,1186.71,
24296,1421,53,7958,7873,0,740.822,24140.8,-1.0,0.0,36.0007,1381.09,
24296,1422,53,7932,7911,0,741.085,24141.1,24294.2,0.0,89.6341,945.208,
24296,1423,53,7944,7867,0,742.459,24142.5,-1.0,0.0,69.979,1103.87,
24296,1424,53,7862,7946,0,742.5,24142.5,-1.0,0.0,35.8524,2679.71,
24296,1425,53,7959,7912,0,742.545,24142.5,24278.8,0.0,69.8339,1014.82,
24296,1426,53,7874,7960,0,743.088,24143.1,-1.0,0.0,52.4473,1582.61,
24296,1427,53,7871,7859,0,743.127,24143.1,24227.4,0.0,47.0174,716.273,
24296,1428,53,7862,8011,0,743.669,24144.0,24277.2,0.0,52.3579,1693.02,
24296,1429,53,7862,8003,0,744.213,24144.2,24297.7,0.0,52.4901,1948.74,
24296,1430,53,7863,8003,0,745.124,24145.1,-1.0,0.0,10.8705,795.357,
24296,1431,53,7867,7955,0,746.34,24146.3,24209.2,0.0,3.95478,1100.71,
24296,1432,53,7860,7942,0,746.469,24146.5,-1.0,0.0,20.9892,2053.97,
24296,1433,53,7911,7971,0,746.724,24146.7,-1.0,0.0,84.6311,446.643,
24296,1434,53,7920,7862,0,747.005,24147.0,-1.0,0.0,100.624,798.367,
24296,1435,53,8021,8000,0,747.354,24147.4,24253.3,0.0,28.3141,1253.39,
24296,1436,53,7982,7867,0,747.622,24147.8,-1.0,0.0,77.0271,1160.53,
24296,1437,53,7932,7934,0,748.934,24148.9,-1.0,0.0,107.073,750.258,
24296,1438,53,7867,7996,0,749.143,24149.1,-1.0,0.0,38.941,1707.17,
24296,1439,53,8011,7859,0,749.931,24149.9,-1.0,0.0,76.0667,1009.78,
24296,1440,53,7874,7860,0,749.972,24150.0,24199.9,0.0,3.86179,694.531,
24296,1441,53,7982,8003,0,751.524,24151.5,-1.0,0.0,68.2099,1256.67,
24296,1442,53,7933,7862,0,752.194,24152.2,-1.0,0.0,23.1201,2586.67,
24296,1443,53,7867,7964,0,752.331,24152.3,24274.7,0.0,41.1928,1332.38,
24296,1444,53,7969,7966,0,752.922,24152.9,24273.6,0.0,17.8603,1477.97,
24296,1445,53,7955,7867,0,755.189,24155.2,24288.3,0.0,55.4035,1236.4,
24296,1446,53,7867,7978,0,755.543,24155.5,24291.2,0.0,32.5606,1988.63,
24296,1447,53,7871,7874,0,756.016,24156.0,24274.9,0.0,42.0295,1249.24,
24296,1448,53,7862,8007,0,756.387,24156.4,-1.0,0.0,35.8069,2004.5,
24296,1449,53,7887,7859,0,757.363,24157.4,-1.0,0.0,15.8145,886.308,
24296,1450,53,7862,7956,0,757.407,24157.4,-1.0,0.0,0.753257,2226.38,
24296,1451,53,7938,7905,0,757.416,24157.4,24238.8,0.0,12.5952,920.407,
24296,1452,56,8000,7984,0,757.989,24158.0,24263.9,0.0,31.5325,1054.52,
24296,1453,53,8000,7862,0,758.153,24158.2,-1.0,0.0,10.6247,1398.94,
24296,1454,53,7862,8004,0,758.259,24158.3,24294.2,0.0,21.1457,1991.62,
24296,1455,53,7862,7933,0,759.098,24159.1,-1.0,0.0,14.6492,2435.82,
24296,1456,53,7954,7867,0,759.636,24159.6,-1.0,0.0,26.223,1051.18,
24296,1457,53,8009,7862,0,760.505,24160.5,24299.2,0.0,11.0239,2412.99,
24296,1458,53,7859,7913,0,760.854,24160.9,-1.0,0.0,24.0109,1783.95,
24296,1459,53,7859,7956,0,760.88,24160.9,-1.0,0.0,35.298,1711.44,
24296,1460,53,8021,7912,0,761.844,24161.8,-1.0,0.0,11.8295,1908.35,
24296,1461,53,7923,7913,0,762.026,24162.0,24205.1,0.0,2.46785,606.669,
24296,1462,53,8004,7980,0,762.264,24162.3,-1.0,0.0,66.5714,855.559,
24296,1463,53,7932,7928,0,763.236,24163.2,24193.0,0.0,8.12623,275.097,
24296,1464,53,7867,7914,0,763.91,24163.9,-1.0,0.0,38.6216,1719.25,
24296,1465,53,7912,7980,0,764.193,24164.2,-1.0,0.0,84.5736,793.051,
24296,1466,56,7954,7869,0,765.008,24165.4,24268.3,0.0,16.8037,1261.85,
24296,1467,53,7965,7862,0,767.746,24168.0,-1.0,0.0,28.2012,1234.66,
24296,1468,53,7867,7956,0,767.89,24167.9,-1.0,0.0,38.8418,1594.47,
24296,1469,53,7860,7940,0,769.089,24169.1,-1.0,0.0,14.661,1980.64,
24296,1470,53,7983,7928,0,770.553,24170.6,-1.0,0.0,101.819,276.323,
24296,1471,53,8003,7861,0,770.929,24170.9,-1.0,0.0,4.24951,1508.7,
24296,1472,53,7859,7886,0,771.316,24171.3,-1.0,0.0,28.6711,1484.54,
24296,1473,56,7860,7877,0,771.475,24171.5,24267.2,0.0,41.0858,900.788,
24296,1474,53,8007,7862,0,771.612,24171.6,-1.0,0.0,35.3329,1807.65,
24296,1475,53,7869,7958,0,773.951,24174.0,24276.5,0.0,4.41414,1483.15,
24296,1476,53,7863,7862,0,774.393,24174.4,-1.0,0.0,66.8674,789.272,
24296,1477,53,7862,8002,0,775.315,24175.3,-1.0,0.0,13.0031,1878.04,
24296,1478,53,7862,8004,0,775.686,24175.7,-1.0,0.0,18.024,1971.5,
24296,1479,56,7862,7907,0,775.912,24175.9,-1.0,0.0,43.6963,1450.95,
24296,1480,53,7859,7906,0,776.037,24176.0,24294.2,0.0,24.1889,1568.82,
24296,1481,53,7950,7907,0,776.94,24176.9,-1.0,0.0,18.5494,1752.55,
24296,1482,53,7972,7869,0,776.996,24177.0,-1.0,0.0,24.7637,1495.65,
24296,1483,53,7859,7874,0,779.893,24179.9,24294.0,0.0,38.7872,1401.4,
24296,1484,53,7860,7941,0,780.607,24180.6,-1.0,0.0,48.3366,1232.35,
24296,1485,56,7991,7979,0,780.699,24180.7,-1.0,0.0,96.9672,339.743,
24296,1486,53,7867,7956,0,782.244,24182.2,-1.0,0.0,36.4175,1475.24,
24296,1487,53,7862,8022,0,782.351,24182.4,24254.6,0.0,4.13842,1431.32,
24296,1488,53,7901,7859,0,783.856,24183.9,-1.0,0.0,58.8428,829.515,
24296,1489,53,7860,7956,0,783.91,24183.9,-1.0,0.0,10.3378,867.707,
24296,1490,53,8019,7865,0,784.069,24184.1,-1.0,0.0,7.10999,1709.34,
24296,1491,53,7863,8002,0,784.482,24184.5,-1.0,0.0,57.9817,975.323,
24296,1492,56,7862,7938,0,784.566,24184.6,-1.0,0.0,2.26155,2380.35,
24296,1493,53,7900,7942,0,784.826,24185.6,24283.0,0.0,13.576,1235.04,
24296,1494,53,7958,7963,0,784.897,24184.9,-1.0,0.0,6.98196,890.275,
24296,1495,53,8001,8021,0,785.182,24185.2,-1.0,0.0,11.7701,1228.2,
