did,oid,ent,sectionId,exitTime,travelTime,delayTime
24296,5,24,9261,23591.6,6.69132,0.859093
24296,6,1,8426,23406.2,3.4049,0.0
24296,6,2,8421,23407.8,0.570109,0.0301439
24296,6,3,8420,23416.8,8.11164,5.93163
24296,6,4,9458,23490.7,70.784,64.6161
24296,6,5,10322,23515.0,21.5426,1.29115
24296,6,6,9381,23520.7,4.17835,0.518927
24296,6,7,8741,23525.7,4.14602,0.356455
24296,6,8,8496,23531.1,4.49998,0.0300046
24296,6,9,10696,23532.2,0.434009,0.0
24296,6,10,9550,23537.2,4.23687,0.0
24296,6,11,8486,23542.0,3.93482,0.0
24296,6,12,9567,23543.6,0.52924,0.0
24296,6,13,9572,23547.7,2.98714,0.0
24296,6,14,9554,23598.1,49.2486,41.9967
24296,6,15,8555,23610.3,9.03978,0.726518
24296,6,16,9574,23611.9,0.805412,0.0
24296,6,17,8727,23621.3,7.81097,0.0
24296,6,18,8781,23646.0,23.6782,0.0
24296,7,1,9364,23404.1,0.94173,0.0549198
24296,7,2,9363,23409.4,4.46379,1.22393
24296,7,3,10425,23418.9,8.65128,2.27272
24296,7,4,9342,23425.1,5.49719,3.16322
24296,7,5,19853,23427.4,0.96234,0.556418
24296,7,6,9221,23430.2,2.00373,0.842745
24296,7,7,9352,23435.0,2.73781,0.13601
24296,7,8,10428,23441.3,5.38394,0.0205049
24296,7,9,10437,23442.3,0.240284,0.0
24296,7,10,9330,23444.6,1.74697,0.0944927
24296,7,11,9333,23446.2,0.614972,0.0102576
24296,7,12,10444,23450.2,2.88204,0.0107919
24296,7,13,10441,23454.2,2.8835,0.0
24296,7,14,10435,23456.2,1.14479,0.073578
24296,7,15,19870,23457.0,0.324155,0.0
24296,7,16,19871,23458.8,1.10917,0.0
24296,7,17,10475,23462.2,2.81408,0.782783
24296,7,18,9405,23478.7,15.5388,10.4337
24296,7,19,9099,23488.9,6.37852,2.33424
24296,7,20,8076,23492.1,1.78898,0.362703
24296,7,21,8913,23560.4,66.8778,62.9462
24296,7,22,10524,23578.7,16.7789,11.965
24296,7,23,8824,23587.9,5.69618,0.93174
24296,7,24,9170,23597.4,8.09305,0.0403526
24296,7,25,25189,23609.1,10.8184,0.0
24296,7,26,9147,23629.3,20.2434,0.0
24296,7,27,10143,23634.3,4.10254,0.624274
24296,7,28,18186,23635.3,0.428316,0.0
24296,7,29,10118,23646.8,10.1627,0.829644
24296,7,30,9149,23672.5,24.1514,0.682892
24296,7,31,10129,23678.4,5.25402,0.0
24296,7,32,10291,23707.7,28.3752,0.0143182
24296,8,1,9803,23425.2,20.566,0.0
24296,8,2,9794,23427.8,1.66456,0.0
24296,8,3,8878,23439.7,10.9785,0.0241239
24296,8,4,9882,23447.6,6.4623,0.60975
24296,8,5,10543,23451.8,3.22607,0.306245
24296,8,6,8736,23460.1,7.13553,1.94882
24296,8,7,10535,23462.9,1.86062,0.774867
24296,8,8,10536,23465.8,1.7997,0.199029
24296,9,1,8780,23425.7,19.9114,0.0201683
24296,9,2,8729,23430.7,3.98865,0.0
24296,9,3,9577,23433.2,1.64431,0.0541526
24296,9,4,10482,23435.5,0.848817,0.0
24296,9,5,8556,23440.4,4.05408,0.274257
24296,9,6,10489,23443.4,2.54626,0.0270657
24296,9,7,9627,23452.5,7.62331,0.0257094
24296,9,8,9616,23457.0,3.72417,0.0
24296,9,9,8725,23461.6,3.47408,0.0
24296,9,10,9647,23466.4,3.51824,0.0
24296,9,11,10310,23470.9,3.9568,0.606979
24296,9,12,9648,23474.8,3.18896,1.22251
24296,9,13,17960,23476.2,1.00645,0.126677
24296,9,14,17961,23477.2,0.514151,0.0317199
24296,9,15,9062,23482.4,4.02027,0.545794
24296,9,16,10326,23492.9,9.64441,0.505193
24296,9,17,8191,23499.4,4.71304,0.0558077
24296,9,18,25031,23504.6,3.5419,0.212882
24296,9,19,9618,23526.6,22.077,20.6489
24296,9,20,8560,23551.3,21.2275,13.161
24296,9,21,8822,23632.2,76.3858,61.7883
24296,9,22,9591,23637.0,0.897115,0.345081
24296,9,23,8890,23639.1,1.66277,0.293855
24296,9,24,9494,23645.5,5.37749,0.105851
24296,9,25,8628,23650.3,3.90374,0.92821
24296,9,26,8842,23651.9,0.553481,0.322324
24296,9,27,8515,23655.3,2.50063,0.53857
24296,10,1,9138,23413.4,6.76957,0.0
24296,10,2,9139,23418.4,4.01886,0.995718
24296,10,3,9136,23424.2,4.38984,0.707172
24296,10,4,10117,23426.3,0.991972,0.0543118
24296,10,5,18192,23428.2,0.629103,0.0
24296,10,6,18186,23429.6,0.625286,0.0
24296,10,7,10118,23442.2,11.2343,0.700902
24296,10,8,9149,23470.9,27.0102,0.523546
24296,10,9,10129,23477.6,5.92955,0.0
24296,10,10,10291,23510.7,32.0244,0.0161342
24296,11,1,8780,23430.3,22.2671,2.82421
24296,11,2,10402,23447.8,16.514,1.41632
24296,12,1,10292,23437.3,29.1336,0.0
24296,12,2,10131,23438.6,1.11071,0.0
24296,12,3,8733,23444.9,5.23006,0.0
24296,12,4,10128,23447.4,2.07725,0.0
24296,12,5,10283,23448.7,0.667147,0.0
24296,12,6,10136,23467.3,18.0641,0.0
24296,12,7,10138,23473.7,5.92655,0.208861
24296,12,8,10736,23481.8,7.67243,0.313111
24296,12,9,18190,23483.2,0.374872,0.0
24296,12,10,10142,23488.0,4.08523,0.436697
24296,12,11,9132,23493.5,4.41418,0.0518027
24296,12,12,9146,23498.8,4.4127,0.0
24296,12,13,8930,23510.7,10.9731,0.0
24296,12,14,9173,23522.5,10.8337,0.0
24296,12,15,9169,23531.9,8.38771,0.0
24296,12,16,8823,23538.6,5.17864,0.0
24296,12,17,8786,23545.1,5.19459,0.0
24296,12,18,9004,23549.1,2.69683,0.0
24296,12,19,8058,23551.8,1.98916,0.0484087
24296,12,20,8065,23567.9,15.0511,13.2865
24296,12,21,8784,23582.9,12.0635,1.64923
24296,12,22,9022,23585.9,1.65508,0.132748
24296,12,23,10529,23594.0,7.42362,0.0913561
24296,12,24,10320,23604.8,9.33787,0.0
24296,12,25,10322,23625.2,18.8368,0.0245152
24296,12,26,9381,23673.1,46.5229,43.1235
24296,12,27,8738,23682.5,6.07016,1.04494
24296,12,28,9321,23689.0,5.4338,0.581023
24296,12,29,18169,23690.2,0.779199,0.0
24296,12,30,18170,23691.1,0.495358,0.0
24296,12,31,18171,23692.4,0.793911,0.0
24296,12,32,9447,23706.7,13.6708,7.0125
24296,12,33,9390,23713.2,3.58408,1.18568
24296,12,34,9311,23720.4,5.18859,0.484399
24296,13,1,10292,23438.9,29.8392,0.677611
24296,13,2,10132,23440.9,1.80376,0.0
24296,13,3,10091,23442.4,0.779382,0.0
24296,13,4,10083,23446.3,3.0923,0.0
24296,13,5,10081,23454.9,6.74546,0.0
24296,13,6,10700,23460.5,4.32186,0.442411
24296,13,7,10705,23465.7,3.45936,0.296206
24296,13,8,10056,23470.8,3.91149,0.50745
24296,13,9,10060,23473.4,1.12099,0.25441
24296,13,10,10458,23480.9,6.38762,0.131647
24296,14,1,8780,23435.1,25.869,0.0336586
24296,14,2,8729,23441.5,5.18057,0.0
24296,14,3,9577,23444.8,2.14563,0.0802901
24296,14,4,10482,23447.9,1.14268,0.0334387
24296,14,5,8556,23454.2,5.18,0.270666
24296,14,6,10489,23458.1,3.28501,0.0130077
24296,14,7,9627,23469.9,9.89317,0.0251869
24296,14,8,9616,23475.8,4.83695,0.0
24296,14,9,8725,23481.7,4.50243,0.0
24296,14,10,9647,23487.9,4.59846,0.0144354
24296,14,11,10310,23493.5,4.88156,0.530716
24296,14,12,9648,23499.0,4.5534,1.99931
24296,14,13,17960,23501.3,1.09139,0.0
24296,14,14,17961,23502.3,0.597184,0.0
24296,14,15,17962,23504.8,0.780126,0.043583
24296,14,16,17963,23506.8,0.896075,0.0166298
24296,14,17,9693,23535.3,27.4396,1.17174
24296,14,18,9689,23552.7,15.5973,1.79663
24296,14,19,8632,23556.0,2.40194,0.0
24296,14,20,23597,23558.5,0.778469,0.114606
24296,14,21,9680,23561.1,1.30799,0.304121
24296,14,22,9684,23572.7,10.7154,0.153227
24296,14,23,9867,23581.0,7.03058,0.0
24296,14,24,10158,23586.9,4.46595,0.317397
24296,14,25,10554,23591.1,2.11795,0.841531
24296,14,26,10462,23615.2,3.87628,3.25975
24296,14,27,9940,23634.7,15.0296,0.518913
24296,14,28,9876,23639.7,3.58535,0.0
24296,14,29,10024,23650.5,9.37051,0.0
24296,14,30,9885,23659.9,7.55202,0.0336947
24296,14,31,9886,23675.6,13.8743,0.0
24296,14,32,9806,23706.3,29.5367,0.0322144
24296,15,1,9208,23415.9,6.36719,0.723986
24296,15,2,10476,23421.0,3.53495,1.41314
24296,15,3,19873,23423.5,1.87446,0.0
24296,15,4,19869,23425.1,0.767979,0.0
24296,15,5,19870,23426.3,0.513345,0.0
24296,15,6,19871,23428.8,1.40877,0.0225837
24296,15,7,10475,23432.4,2.99055,0.551724
24296,15,8,9405,23478.7,45.1546,39.0253
24296,15,9,9099,23487.5,5.06046,0.204778
24296,15,10,8076,23490.6,1.71376,0.0
24296,15,11,8913,23557.9,65.9297,61.2093
24296,15,12,10524,23586.7,26.5123,20.7326
24296,15,13,8339,23592.5,2.71887,0.275699
24296,15,14,10608,23595.6,1.9305,0.0151833
24296,15,15,24783,23602.0,5.11579,0.0
24296,15,16,10648,23604.2,2.10072,0.0
24296,15,17,10689,23615.7,9.45,0.0
24296,15,18,9102,23619.7,2.76301,0.0
24296,15,19,8745,23625.2,3.97326,0.0
24296,15,20,17772,23684.0,57.8672,52.78
24296,15,21,8888,23687.0,1.29664,0.669237
24296,15,22,9592,23691.9,2.10564,0.047799
24296,15,23,10671,23695.4,2.88882,0.023504
24296,15,24,9482,23701.8,4.42423,0.0134496
24296,15,25,9124,23703.5,0.358965,0.0
24296,15,26,10229,23754.7,50.5457,44.2253
24296,15,27,10501,23759.5,1.09149,0.0657275
24296,15,28,9478,23763.7,3.41783,0.280402
24296,15,29,10213,23813.1,49.0771,48.08
24296,15,30,10168,23839.5,24.3674,18.3672
24296,15,31,10480,23850.7,7.82025,0.340111
24296,15,32,9940,23867.6,14.1877,0.249524
24296,15,33,9876,23872.4,3.448,0.0
24296,15,34,10024,23882.7,9.00109,0.0
24296,15,35,9885,23891.8,7.25405,0.0323658
24296,15,36,9886,23906.9,13.3268,0.0
24296,15,37,9806,23936.4,28.3713,0.0309433
24296,16,1,10292,23441.2,30.3811,4.45697
24296,16,2,10131,23442.5,1.10209,0.116727
24296,16,3,8733,23448.8,5.19132,0.54234
24296,16,4,10280,23459.5,10.3788,0.0
24296,16,5,24173,23478.3,17.6417,1.07097
24296,16,6,9156,23484.1,5.83875,0.619904
24296,16,7,18150,23485.4,0.396506,0.0
24296,16,8,18151,23486.8,0.411296,0.0
24296,16,9,9014,23488.8,0.874044,0.203768
24296,16,10,9145,23493.3,3.76533,0.978352
24296,16,11,10269,23500.2,5.39202,0.534641
24296,16,12,8208,23505.9,5.1384,0.0199369
24296,16,13,10268,23510.5,3.76629,0.0
24296,16,14,8935,23514.4,2.75833,0.338926
24296,16,15,8503,23516.4,1.27307,0.321792
24296,17,1,8549,23417.7,6.61532,1.10379
24296,17,2,10081,23427.1,8.13673,0.702537
24296,17,3,10700,23433.1,4.70186,0.425898
24296,17,4,10705,23438.8,3.75565,0.269186
24296,17,5,10056,23443.9,3.75893,0.0
24296,17,6,10059,23452.5,7.27137,0.0
24296,17,7,10063,23467.4,13.4769,0.0
24296,17,8,8793,23470.2,1.79175,0.142104
24296,17,9,18723,23471.8,1.08989,0.0
24296,17,10,10181,23475.3,2.92041,0.429039
24296,17,11,8788,23478.8,2.41568,0.0260181
24296,17,12,10180,23486.1,5.98185,0.0
24296,17,13,10170,23498.0,10.5272,0.0
24296,17,14,8970,23507.2,7.81553,0.0
24296,17,15,8796,23515.9,7.35443,0.617789
24296,17,16,8661,23526.0,8.43516,1.83932
24296,17,17,8869,23528.9,1.6325,0.560166
24296,17,18,8679,23535.4,6.32111,1.08879
24296,17,19,8301,23540.6,3.40855,0.524668
24296,18,1,10052,23418.9,7.74327,0.0
24296,18,2,10449,23429.1,8.71818,0.0219059
24296,18,3,10730,23459.5,29.2711,26.2725
24296,18,4,10054,23472.1,9.69623,0.241572
24296,18,5,10703,23474.0,0.747566,0.0276308
24296,18,6,10705,23479.7,4.14345,0.462108
24296,18,7,10056,23485.2,3.9695,0.0
24296,18,8,10059,23494.2,7.67775,0.0
24296,18,9,10063,23510.0,14.2302,0.0
24296,18,10,8793,23513.0,1.96309,0.221238
24296,18,11,18723,23514.6,1.09124,0.0
24296,18,12,18721,23515.9,0.35538,0.0
24296,18,13,10183,23519.0,2.61366,0.387312
24296,18,14,8791,23536.8,16.7806,1.17295
24296,18,15,10298,23545.1,7.03831,0.744771
24296,18,16,10174,23549.1,2.57846,0.0
24296,18,17,10177,23552.9,3.26283,0.366598
24296,18,18,24434,23554.2,0.315934,0.0
24296,18,19,10253,23564.7,9.68495,0.719118
24296,18,20,8280,23567.7,1.08735,0.243356
24296,18,21,8284,23572.5,3.58728,0.08349
24296,19,1,10292,23440.0,28.4547,0.832344
24296,19,2,10131,23441.3,1.08239,0.0324724
24296,19,3,8733,23447.4,5.08498,0.131451
24296,19,4,10280,23457.9,10.1935,0.0
24296,19,5,24173,23476.7,17.6564,0.0
24296,19,6,9156,23482.5,5.73467,0.173938
24296,19,7,18150,23483.7,0.354536,0.0
24296,19,8,9011,23486.1,1.49297,0.190836
24296,19,9,8634,23490.6,3.69105,0.0671754
24296,19,10,8230,23496.4,4.78105,0.435604
24296,19,11,24415,23497.4,0.326108,0.0
24296,19,12,10245,23505.7,7.72779,0.420422
24296,19,13,10243,23517.2,10.665,0.0
24296,19,14,8967,23521.8,3.43632,0.727304
24296,19,15,8673,23524.7,2.30313,0.0
24296,19,16,18005,23526.8,0.520408,0.0412293
24296,19,17,9080,23528.7,0.711801,0.162477
24296,19,18,8674,23531.8,2.49695,0.167884
24296,19,19,8463,23537.9,4.88344,0.0174823
24296,19,20,8843,23542.2,3.10795,0.0
24296,19,21,8629,23548.9,5.60555,0.0
24296,19,22,8891,23552.1,2.44589,0.0
24296,19,23,9592,23555.2,1.74209,0.0
24296,19,24,10671,23558.7,2.86243,0.436748
24296,19,25,10207,23567.7,7.30264,0.656028
24296,19,26,8600,23570.9,1.77698,0.116575
24296,19,27,8150,23571.8,0.326659,0.0825195
24296,19,28,8154,23574.1,1.21208,0.126043
24296,20,1,8780,23436.1,24.3808,0.957269
24296,20,2,8729,23442.0,4.72254,0.0256009
24296,20,3,9577,23444.9,1.96257,0.0900423
24296,20,4,10482,23447.6,1.00531,0.0
24296,20,5,8556,23453.3,4.69624,0.245212
24296,20,6,10489,23457.4,3.53533,0.568785
24296,20,7,9192,23467.0,8.0537,0.756566
24296,20,8,9571,23471.5,3.38657,0.445285
24296,20,9,9553,23478.9,5.57312,0.743759
24296,20,10,9621,23481.4,0.669946,0.105026
24296,20,11,8612,23485.5,3.01573,0.103494
24296,21,1,8780,23436.2,24.2006,2.44243
24296,21,2,8729,23441.6,4.37587,0.0128572
24296,21,3,9577,23444.4,1.79736,0.0579549
24296,21,4,10482,23446.9,0.932112,0.0
24296,21,5,8556,23452.2,4.38302,0.248437
24296,21,6,10489,23455.5,2.77717,0.0215228
24296,21,7,9627,23465.5,8.33647,0.0257754
24296,21,8,9616,23470.4,4.07366,0.0
24296,21,9,8725,23475.4,3.80014,0.0
24296,21,10,9647,23480.6,3.84845,0.0
24296,21,11,10310,23485.3,4.11093,0.446707
24296,21,12,9648,23490.0,3.84695,1.69593
24296,21,13,17960,23491.8,1.21197,0.249623
24296,21,14,17961,23492.9,0.572986,0.0452755
24296,21,15,9062,23498.6,4.30764,0.507056
24296,21,16,10326,23509.5,9.97718,0.0
24296,21,17,8191,23516.3,5.08639,0.0
24296,21,18,25031,23522.0,3.92215,0.280679
24296,21,19,9618,23524.9,2.89828,1.33621
24296,21,20,8560,23549.4,22.3066,13.483
24296,21,21,10434,23601.5,48.8958,37.0755
24296,21,22,9026,23606.1,1.87896,0.516412
24296,21,23,8813,23607.8,1.23223,0.513177
24296,21,24,10726,23613.5,5.65498,5.02252
24296,21,25,8254,23620.7,3.83801,0.483624
24296,21,26,8306,23625.2,3.51213,0.491655
24296,21,27,8517,23629.7,2.69199,0.30594
24296,22,1,8314,23421.6,8.79373,5.6567
24296,22,2,9949,23434.5,9.94152,3.49019
24296,22,3,8910,23447.5,11.9023,4.57226
24296,22,4,8982,23454.0,3.9171,1.56223
24296,22,5,10556,23458.2,1.20759,0.396057
24296,22,6,9065,23488.5,29.5233,21.5343
24296,22,7,20293,23491.9,0.260954,0.047038
24296,22,8,10479,23498.4,6.08651,0.212414
24296,22,9,10169,23506.0,5.94912,0.0
24296,22,10,9417,23553.1,45.9123,42.281
24296,22,11,9026,23557.9,1.80118,0.422122
24296,22,12,8813,23559.1,0.800132,0.0723619
24296,22,13,10727,23559.9,0.659318,0.035371
24296,22,14,9481,23564.2,3.68289,0.409598
24296,22,15,10207,23573.2,7.35138,0.384113
24296,22,16,8600,23576.5,1.74191,0.0
24296,22,17,8152,23583.9,6.31761,0.0
24296,22,18,8846,23591.7,6.59373,1.70937
24296,22,19,8677,23594.7,2.27698,0.0
24296,22,20,9073,23597.3,1.25345,0.472881
24296,22,21,9076,23602.0,4.29129,1.69281
24296,22,22,8665,23605.0,2.2813,0.0
24296,22,23,18001,23607.2,0.608497,0.105134
24296,22,24,18002,23609.2,0.494355,0.0
24296,22,25,9084,23611.5,0.885641,0.219295
24296,22,26,8672,23615.2,3.20176,0.224831
24296,22,27,8968,23629.3,12.856,1.67797
24296,22,28,10242,23632.3,1.80521,0.760628
24296,22,29,8272,23636.3,2.79313,0.224949
24296,23,1,10292,23442.7,30.2239,2.64763
24296,23,2,10131,23444.0,1.07095,0.0227827
24296,23,3,8733,23450.0,4.97529,0.0300163
24296,23,4,10128,23452.4,1.96839,0.0
24296,23,5,10283,23453.6,0.631816,0.0
24296,23,6,10136,23471.2,17.0966,0.0
24296,23,7,10138,23477.3,5.66887,0.257941
24296,23,8,10736,23485.1,7.36335,0.398863
24296,23,9,18190,23486.4,0.352904,0.0
24296,23,10,10142,23491.0,3.86796,0.415164
24296,23,11,9132,23496.2,4.17967,0.0513437
24296,23,12,9146,23501.2,4.17662,0.0
24296,23,13,8930,23512.4,10.4156,0.0312739
24296,23,14,9173,23523.9,10.5747,0.321804
24296,23,15,9169,23532.9,7.94306,0.0
24296,23,16,8823,23539.2,4.89976,0.0
24296,23,17,8786,23546.0,5.49853,0.583633
24296,23,18,8884,23551.4,4.10234,0.0705338
24296,23,19,8912,23554.0,1.44939,0.0
24296,23,20,10191,23579.5,24.2929,20.2323
24296,23,21,9406,23588.7,5.44554,0.452994
24296,23,22,10476,23591.8,1.92706,0.133799
24296,23,23,19873,23593.6,1.3537,0.0
24296,23,24,19869,23594.9,0.647579,0.0
24296,23,25,19870,23595.9,0.433855,0.0
24296,23,26,9214,23597.0,0.605019,0.256405
24296,23,27,10152,23603.6,5.58925,0.463679
24296,24,1,8501,23414.2,1.79648,0.0
24296,24,2,8695,23427.1,11.6372,1.07329
24296,24,3,9536,23445.7,17.3871,6.99685
24296,24,4,9567,23450.1,0.789881,0.289493
24296,24,5,9572,23454.6,3.14519,0.327572
24296,24,6,9554,23475.5,19.8432,12.9866
24296,24,7,8555,23488.3,8.55801,0.697931
24296,24,8,9574,23489.7,0.734216,0.0
24296,24,9,8727,23513.7,22.494,15.1159
24296,24,10,10402,23535.4,18.0515,0.535448
24296,25,1,9150,23435.2,21.4046,0.0150609
24296,25,2,10121,23491.5,55.7296,53.8731
24296,25,3,10123,23498.1,2.66587,1.0095
24296,25,4,10736,23506.9,8.34306,0.680993
24296,25,5,18190,23508.4,0.434345,0.0
24296,25,6,10142,23513.7,4.38428,0.585647
24296,25,7,9132,23519.4,4.59022,0.048385
24296,25,8,9146,23524.8,4.59259,0.0
24296,25,9,8930,23537.2,11.4242,0.0
24296,25,10,9173,23549.5,11.2794,0.0
24296,25,11,9169,23592.3,41.687,32.9575
24296,25,12,8823,23602.2,6.09018,0.699126
24296,25,13,8786,23609.1,5.42851,0.0213166
24296,25,14,9004,23613.2,2.80839,0.0
24296,25,15,8058,23616.0,2.02068,0.0
24296,25,16,8065,23618.6,1.83677,0.0
24296,25,17,8784,23655.5,35.2393,24.3965
24296,25,18,9022,23661.0,2.13455,0.549588
24296,25,19,10529,23695.5,33.7881,26.1542
24296,25,20,10320,23709.8,10.4553,0.742138
24296,25,21,10322,23731.0,19.6141,0.0278525
24296,25,22,9381,23773.1,40.587,37.0478
24296,25,23,8738,23787.0,10.6924,5.4604
24296,25,24,9322,23789.6,1.34203,0.550888
24296,25,25,9404,23793.9,3.65543,0.34277
24296,25,26,9335,23795.5,0.87632,0.0122927
24296,25,27,9561,23799.1,3.16092,0.621905
24296,25,28,9543,23802.9,2.46331,0.627661
24296,26,1,10292,23444.0,29.62,1.11311
24296,26,2,10131,23445.3,1.09364,0.0101007
24296,26,3,8733,23451.5,5.12318,0.0110197
24296,26,4,10128,23453.9,2.03257,0.0
24296,26,5,10283,23455.1,0.65272,0.0
24296,26,6,10136,23473.4,17.6718,0.0
24296,26,7,10138,23479.8,5.92773,0.334196
24296,26,8,10736,23487.8,7.60809,0.40858
24296,26,9,18190,23489.2,0.413793,0.0
24296,26,10,18192,23490.5,0.605582,0.0
24296,26,11,10110,23492.8,1.1491,0.261736
24296,26,12,10104,23496.9,3.98739,0.219128
24296,26,13,10289,23504.2,6.36558,0.0
24296,27,1,9604,23428.5,13.2915,2.1818
24296,27,2,8486,23434.6,5.19397,1.46107
24296,27,3,9567,23436.2,0.519458,0.0168384
24296,27,4,9572,23440.1,2.84995,0.019765
24296,27,5,9554,23475.4,34.2383,27.3511
24296,27,6,9627,23487.9,9.76133,1.10702
24296,27,7,9616,23493.0,4.24531,0.0
24296,27,8,8725,23498.2,3.94882,0.0
24296,27,9,9647,23503.7,4.0329,0.012668
24296,27,10,10310,23508.6,4.25969,0.443965
24296,27,11,9648,23513.2,3.8542,1.61424
